pais,idnum,uniq_id,estratopri,estratosec,upm,prov,municipio,cluster,ur,tamano,idiomaq,fecha,wt,q1,q2y,q2,ls3,a4,soct2,idio2,np1,np2,sgl1,cp4a,cp5,cp6,cp7,cp8,cp13,cp20,cpss1,cpx,it1,l1,immig1,immig2,prot3,jc10,jc13,jc15a,vic1ext,vic1exta,vic2,vic2aa,vic1hogar,pole2n,aoj11,pese1,pese2,aoj17,aoj12,aoj22,b1,b2,b3,b4,b6,b10a,b11,b12,b13,b18,b20,b20a,b21,b21a,b32,b37,b40,b46,b47a,b51,ecub50,ecuenv1,ecuenv2,b48a,b48b,b48c,b48d,epp1,epp3,n9,n11,n15,b3milx,mil3,mil4,pr3a,pr3c,pr3d,pr3e,pr4,pr5,m1,sd2new2,sd3new2,sd6new2,infrax,ros1,ros4,ing4,eff1,eff2,mil7,ecuong1,ecuong2,ecuong3,env1,dst1,pn4,w14a,e5,e15,e3,e16,d1,d2,d3,d4,d5,d6,d7,d8,dem2,dem11,exc2,exc6,exc20,exc11,exc13,exc14,exc15,exc16,exc18,exc7,vicbar1,vicbar1f,vicbar3,vicbar4,vicbar7,fear10,vic44,vb1,inf1,vb2,vb3n,vb4new,vb101,vb10,vb11,pol1,vb20,ecuvot1,ecuvot2,clien1n,clien1na,ecurele1,ecuinley,ecudolar,for1n,for4,for5,for6,for7,for6b,for7b,mil10a,mil10c,mil10e,vol207n,vol208n,dvw1,dvw2,wf1,cct1b,gc1,gc1a,ed,ed2,q3c,q5b,ocup4a,ocup1a,q10new,q10g,q10a,q10cnew,gc4,gc4a,q10d,q10e,q11n,q12c,q12bn,q12,etid,leng1,leng4,ecudis1,ecudis2,www1,gi0,gc2,gi1,gix4,gi4,gi7,r3,r4,r4a,r5,r6,r7,r8,r12,r14,r15,r18,r1,r16,r26,colorr,sexi,colori,nationality,formatq,sex,gi7r
Ecuador,c9c8952a-1e00-4a33-8f13-f8cf3abee76b-ebb1563868869a3542391104,ECU14_14091201,Oriente Norte,Small: Less than 25.000,1503,Napo,Archidona,176,Rural,Rural Area,Spanish,31jan2014,1,Female,1969,45,Very Satisfied,Don't Know,Better,Better,No,No,Good,No,Never,Once or Twice a Month,Once or Twice a Month,Once or Twice a Month,Never,Once or Twice a Month,Never,No,Untrustworthy,Don't Know,Don't Know,They take away jobs from citizens,No,Don't Know,"No, a military take-over of the state would not be justified",Don't Know,No,Not Applicable,Not Applicable,Not Applicable,Yes,Dissatisfied,Somewhat Safe,Lower,Lower,None,Some,Increase punishment of criminals,2,2,Don't Know,2,3,4,Don't Know,Not at All,Don't Know,4,A Lot,Not at All,3,5,5,5,6,Don't Know,6,Don't Know,Not Applicable,6,6,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Not at All,Don't Know,4,3,Don't Know,Don't Know,Don't Know,The government does not have that right,Bad,Satisfied,Satisfied,Satisfied,More than 30 minutes but less than 1 hour,Don't Know,Don't Know,Don't Know,4,3,6,Don't Know,Don't Know,Don't Know,Promote Economic Growth,Safer Construction of Homes,Don't Know,"No, it is not justified",5,7,6,5,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,2,8,Don't Know,Don't Know,Everyone's Participation,No,No,No,Not Applicable,Not Applicable,Not Applicable,No,No,Don't Know,Don't Know,No,Not Applicable,No,No,No,No,No,Yes,Yes,Voted,No Response,Not Applicable,Not Applicable,Don't Know,Not Applicable,None,Don't Know,Agree that voting should be compulsory,Yes,No,No,No,Don't Know,Have our own currency,Don't Know,Don't Know,Don't Know,Don't Know,Not Applicable,Don't Know,Not Applicable,Don't Know,Don't Know,Don't Know,Sometimes,Sometimes,Would Not Approve or Understand,Would Not Approve or Understand,Yes,Yes,Does not speak a foreign language,Not Applicable,6,None,Catholic,Not Very Important,Taking care of the home,Not Applicable,Less than 130,Not Applicable,No,No,Never been abroad,Not Applicable,"Not enough, and having a hard time",Decreased,Married,8,1,6,Indigenous,Quichua,Only indigenous,No,Not Applicable,Never,Never,Not Applicable,Incorrect,Incorrect,Incorrect,Don't Know,No,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,6,Female,4,Ecuadorian,Android,Female,Don't Know
Ecuador,12985072-2832-4879-9fc4-35fb1ee7e3e6-78ec1fade8c4108b423997,ECU14_14090113,Sierra Rural,Medium: Between 25.000 and 100.000,201,Bolívar,Guaranda,14,Rural,Rural Area,Spanish,01feb2014,1,Female,1963,51,Somewhat Satisfied,"Water, lack of",Worse,Same,No,No,Neither Good nor Bad (Fair),No,Never,Never,Once or Twice a Year,Never,Never,Never,Never,No,Somewhat Trustworthy,Don't Know,Somewhat Agree,They take away jobs from citizens,No,"No, a military take-over of the state would not be justified","No, a military take-over of the state would not be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Somewhat Safe,Lower,Same,None,A Little,Increase punishment of criminals,3,5,5,Don't Know,Don't Know,3,5,A Lot,5,5,A Lot,Don't Know,3,Don't Know,Don't Know,Don't Know,5,Don't Know,5,Don't Know,Not Applicable,A lot,5,Don't Know,Don't Know,Don't Know,Don't Know,3,Not at All,Don't Know,Don't Know,Don't Know,6,5,Don't Know,5,5,Don't Know,Don't Know,5,The government does not have that right,Don't Know,Dissatisfied,Satisfied,Satisfied,Between 10 and 30 minutes,Strongly Agree,Strongly Agree,5,2,Strongly Disagree,6,No Response,No Response,Don't Know,Protect the Environment,Safer Construction of Homes,Dissatisfied,"Yes, it is justified",4,3,Strongly Disapprove,Strongly Disapprove,Don't Know,Don't Know,8,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,Strongly Approve,Don't Know,Democracy is preferable to any other form of government,Everyone's Participation,No,No,No,Not Applicable,Not Applicable,Not Applicable,No,No,Don't Know,Don't Know,Yes,Once or Twice a Year,Don't Know,No,No,No,Yes,Yes,Yes,Did Not Vote,Not Applicable,Another reason,Not Applicable,No,Not Applicable,None,Don't Know,Agree that voting should be compulsory,Don't Know,No,No,Don't Know,Don't Know,Have our own currency,Don't Know,No Response,Don't Know,No Response,Not Applicable,Don't Know,Not Applicable,Don't Know,Don't Know,Don't Know,Sometimes,Most Often,Don't Know,Don't Know,No,Yes,Does not speak a foreign language,Not Applicable,2,None,Catholic,Very Important,Taking care of the home,Not Applicable,Between 130 and 180,Not Applicable,Yes,No,Never been abroad,Not Applicable,"Not enough, and having a hard time",Remained the same,Widowed,4,0,6,Indigenous,Quichua,Spanish and indigenous language,No,Not Applicable,Never,Rarely,Rarely,Incorrect,Incorrect,Incorrect,No Response,No,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,6,Female,4,Ecuadorian,Android,Female,No Response
Ecuador,c9c8952a-1e00-4a33-8f13-f8cf3abee76b-ebb1563868869a3542391107,ECU14_14091204,Oriente Norte,Small: Less than 25.000,1503,Napo,Archidona,176,Rural,Rural Area,Spanish,31jan2014,1,Male,1943,71,Very Dissatisfied,"Economy, problems with, crisis of",Worse,Worse,No,No,Neither Good nor Bad (Fair),No,Once or Twice a Year,Once a Week,Never,Never,Never,Not Applicable,Never,No,Untrustworthy,Don't Know,Strongly Disagree,They take away jobs from citizens,No,Don't Know,Don't Know,Don't Know,No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Very Safe,Lower,Same,None,Don't Know,Don't Know,A Lot,3,3,5,3,A Lot,Don't Know,A Lot,6,A Lot,A Lot,2,3,A Lot,A Lot,4,3,Don't Know,6,Don't Know,Not Applicable,Don't Know,Don't Know,6,5,5,4,2,3,2,5,6,6,Don't Know,Don't Know,Don't Know,2,3,4,6,The government does not have that right,Good,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,6,Don't Know,Don't Know,2,Don't Know,Don't Know,Don't Know,Protect the Environment,Safer Construction of Homes,Satisfied,Don't Know,2,2,3,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Strongly Disapprove,9,Don't Know,Democracy is preferable to any other form of government,Don't Know,No,No,No,Not Applicable,Not Applicable,Not Applicable,No,Yes,Don't Know,Don't Know,No,Not Applicable,No,No,No,No,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,Yes,Alianza PAIS-Patria Altiva I Soberana (PAIS),A Little,Would vote for incumbent candidate or party,Agree that voting should be compulsory,Yes,No,No,No,The laws in Ecuador were made thinking of the national interest,Maintain dollarization,Don't Know,Don't Know,Don't Know,Don't Know,Not Applicable,Don't Know,Not Applicable,Don't Know,Don't Know,Don't Know,Never,Most Often,Would Not Approve or Understand,Would Not Approve or Understand,Yes,Yes,Does not speak a foreign language,Not Applicable,4,None,Catholic,Rather Important,"Retired, pensioner or permanently disabled to work",Not Applicable,Less than 130,Less than 130,No,No,Never been abroad,Not Applicable,"Not enough, and having a hard time",Increased,Married,7,3,9,Indigenous,Quichua,Only indigenous,Yes,Does not have job for another reason,Never,Rarely,Rarely,Incorrect,Incorrect,Correct,Don't Know,No,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,6,Female,4,Ecuadorian,Android,Male,Don't Know
Ecuador,6853e2d0-ca7e-4e4a-8300-8ab2fb1ace88-5d56f13241a722ec423851,ECU14_14090608,Sierra Rural,Small: Less than 25.000,604,Chimborazo,Chambo,22,Rural,Rural Area,Spanish,28jan2014,1,Female,1949,65,Somewhat Satisfied,Unemployment,Same,Same,Yes,No,Good,No,Once or Twice a Year,Once or Twice a Year,Once or Twice a Year,Never,Never,Never,Once or Twice a Year,Don't Know,Not Very Trustworthy,Don't Know,Neither Agree nor Disagree,Don't Know,No,"No, a military take-over of the state would not be justified","No, a military take-over of the state would not be justified","Yes, it is justified",No,Not Applicable,Not Applicable,Not Applicable,No,Dissatisfied,Somewhat Safe,Same,Same,A Little,A Little,[Don't Read] Both,3,4,4,3,4,4,4,5,6,3,4,4,4,4,4,4,4,4,4,4,Not Applicable,4,3,3,3,4,2,4,3,4,3,4,4,4,5,3,4,3,4,4,Don't Know,Good,Very Dissatisfied,Dissatisfied,Very Dissatisfied,[Don't Read] There are no police/they would not come,5,5,4,2,3,4,3,3,4,[Don't Read] Both,[Don't Read] Both,Very Dissatisfied,Don't Know,3,3,4,3,2,3,4,4,5,6,5,4,No Response,No Response,No Response,Yes,Don't Know,Yes,Not Applicable,Not Applicable,No,Yes,No,Uncommon,No,Not Applicable,No,No,No,Yes,Yes,No,No,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,Yes,Sociedad Unida Más Acción (SUMA),Some,Would vote for incumbent candidate or party,Voting should be optional,No,No,Yes,No,The laws in Ecuador were made for the benefit of private interest,Maintain dollarization,United States,"China (mainland China, not Taiwan)",United States,A Lot,Positive,Some,Very Positive,Very Trustworthy,Somewhat Trustworthy,Not Very Trustworthy,Sometimes,Most Often,Would Not Approve but Understand,Would Not Approve or Understand,Don't Know,No,Does not speak a foreign language,Not Applicable,6,None,Catholic,Not Very Important,"Not Working, but have a job",Salaried employee in the private sector,Between 181 and 220,Between 181 and 220,No,Don't Know,Less than a month,Less than 10 years,"Good enough, with no major problems",Decreased,Widowed,1,0,5,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,Daily,Daily,Incorrect,Incorrect,Correct,Don't Know,No,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,5,Male,4,Ecuadorian,Android,Female,Don't Know
Ecuador,46a086d1-fad2-4366-8118-d8712a082a15-bbca22f54159a764238431,ECU14_14090425,Costa Rural,Small: Less than 25.000,713,El Oro,Zaruma,46,Rural,Rural Area,Spanish,02feb2014,1,Female,1952,62,Somewhat Dissatisfied,Roads in poor condition,Better,Same,No,No,Bad,No,Never,Once or Twice a Month,Never,Never,Never,Never,Never,No,Very Trustworthy,Don't Know,Don't Know,Don't Know,No,Don't Know,"Yes, a military take-over of the state would be justified","Yes, it is justified",No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Very Safe,Lower,Lower,A Little,Don't Know,Increase punishment of criminals,Don't Know,6,Don't Know,6,A Lot,3,3,5,4,4,A Lot,A Lot,3,5,5,5,6,4,4,5,Not Applicable,A lot,A lot,Don't Know,Don't Know,A lot,A lot,Don't Know,4,4,6,5,5,Don't Know,Don't Know,5,A Lot,A Lot,Don't Know,A Lot,The government does not have that right,Good,Dissatisfied,Very Satisfied,Satisfied,Between 10 and 30 minutes,Don't Know,Strongly Agree,Strongly Agree,5,Strongly Disagree,6,Don't Know,Don't Know,Don't Know,Protect the Environment,Safer Construction of Homes,Don't Know,"No, it is not justified",Strongly Approve,8,4,8,7,5,5,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,9,Don't Know,Don't Know,Iron Fist,Don't Know,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Don't Know,Don't Know,No,Not Applicable,No,No,No,No,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,No,Not Applicable,None,Don't Know,Don't Know,No,No,No,No,The laws in Ecuador were made thinking of the national interest,Have our own currency,Don't Know,Don't Know,Don't Know,Don't Know,Not Applicable,A Little,Very negative,Don't Know,Don't Know,Don't Know,Sometimes,Most Often,No Response,No Response,No,No,Does not speak a foreign language,Not Applicable,3,Primary incomplete,Catholic,Very Important,Taking care of the home,Not Applicable,Between 461 and 530,Not Applicable,No,No,Never been abroad,Not Applicable,"Good enough, with no major problems",Increased,Married,3,0,8,Indigenous,Quichua,Spanish and indigenous language,No,Not Applicable,Never,A few times a week,Rarely,Incorrect,Incorrect,Incorrect,Don't Know,No,No,No,No,No,No,No,Yes,No,No,No,No,Not Applicable,Yes,3,Female,3,Ecuadorian,Android,Female,Don't Know
Ecuador,e6b7df52-17d0-44e9-b8b2-d683c5b30a48-36eec846e3e1a12a4243734,ECU14_14091392,Costa Rural,Large: More than 100.000,130102,Manabí,Portoviejo,161,Rural,Rural Area,Spanish,23jan2014,1,Male,1960,54,Very Satisfied,Crime,Same,Same,No,No,Very Good,No,Never,Never,Once or Twice a Month,Never,Never,Not Applicable,Once or Twice a Month,No,Very Trustworthy,Left,Strongly Agree,Don't Know,No,"Yes, a military take-over of the state would be justified","No, a military take-over of the state would not be justified","Yes, it is justified",No,Not Applicable,Not Applicable,Not Applicable,No,Very Satisfied,Very Safe,Same,Same,None,A Little,Increase punishment of criminals,3,A Lot,Don't Know,A Lot,A Lot,A Lot,A Lot,A Lot,5,A Lot,A Lot,Not at All,A Lot,A Lot,A Lot,A Lot,Don't Know,6,A Lot,Don't Know,Not Applicable,A lot,A lot,3,Don't Know,Don't Know,Don't Know,4,4,A Lot,A Lot,A Lot,3,4,A Lot,4,A Lot,A Lot,Not at All,6,The government does not have that right,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Less than 10 minutes,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,5,Strongly Agree,Don't Know,Don't Know,Don't Know,Protect the Environment,[Don't Read] Both,Very Satisfied,"No, it is not justified",6,Strongly Approve,9,Strongly Approve,5,Strongly Approve,Strongly Disapprove,Strongly Approve,Strongly Approve,Strongly Approve,Strongly Approve,Don't Know,Under some circumstances an authoritarian government may be preferable to a democratic one,Everyone's Participation,No,No,No,Not Applicable,No,Not Applicable,Not Applicable,No,No,Very Common,No,Not Applicable,No,No,No,Yes,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,Yes,Alianza PAIS-Patria Altiva I Soberana (PAIS),None,Would vote for incumbent candidate or party,Agree that voting should be compulsory,Yes,No,No,No,Don't Know,Maintain dollarization,Don't Know,Don't Know,Don't Know,Don't Know,Not Applicable,Don't Know,Not Applicable,Don't Know,Don't Know,Don't Know,Never,Always,Would Not Approve or Understand,Would Not Approve or Understand,Yes,Yes,Does not speak a foreign language,Not Applicable,3,Don't Know,Catholic,Very Important,Working,Self-employed,Less than 130,Less than 130,No,No,Never been abroad,Not Applicable,"Not enough, and are stretched",Remained the same,Married,1,2,2,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,Daily,Rarely,Incorrect,Incorrect,Incorrect,Don't Know,No,No,Yes,No,No,No,No,No,No,No,No,No,Not Applicable,No,6,Female,2,Ecuadorian,Android,Male,Don't Know
Ecuador,12985072-2832-4879-9fc4-35fb1ee7e3e6-78ec1fade8c4108b4239910,ECU14_14090071,Sierra Rural,Medium: Between 25.000 and 100.000,201,Bolívar,Guaranda,14,Rural,Rural Area,Spanish,01feb2014,1,Male,1955,59,Somewhat Satisfied,"Economy, problems with, crisis of",Worse,Same,No,No,Good,No,Never,Never,Once or Twice a Month,Never,Never,Not Applicable,Never,No,Somewhat Trustworthy,Don't Know,Somewhat Agree,Don't Know,No,"No, a military take-over of the state would not be justified","No, a military take-over of the state would not be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Somewhat Safe,Lower,Same,A Little,Some,Increase punishment of criminals,3,4,5,5,5,4,4,5,6,A Lot,4,2,2,6,6,5,4,3,2,Don't Know,Not Applicable,A lot,A lot,Don't Know,No Response,No Response,Don't Know,3,2,Don't Know,5,Don't Know,5,Don't Know,Don't Know,4,5,5,Don't Know,5,The government does not have that right,Neither Good nor Bad (Fair),Satisfied,Dissatisfied,Satisfied,Less than 10 minutes,5,Strongly Agree,6,3,3,Strongly Agree,Don't Know,Don't Know,Don't Know,Protect the Environment,Safer Construction of Homes,Don't Know,"Yes, it is justified",4,2,3,Strongly Disapprove,4,4,Don't Know,3,Don't Know,Don't Know,Strongly Approve,Strongly Disapprove,Democracy is preferable to any other form of government,Iron Fist,No,No,No,Not Applicable,No,Not Applicable,No,No,No,Don't Know,Yes,Once or Twice a Year,No,No,Yes,No,Yes,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,No,Not Applicable,A Little,Don't Know,Agree that voting should be compulsory,Yes,No,No,No,The laws in Ecuador were made for the benefit of private interest,Have our own currency,Don't Know,Don't Know,Don't Know,Don't Know,Not Applicable,Don't Know,Not Applicable,No Response,No Response,No Response,Almost Never,Sometimes,Would Not Approve but Understand,Would Not Approve or Understand,No,Yes,Does not speak a foreign language,Not Applicable,1,None,Catholic,Very Important,Working,Salaried employee in the private sector,Between 221 and 260,Between 130 and 180,No,No,Never been abroad,Not Applicable,"Not enough, and having a hard time",Remained the same,Married,4,0,3,Indigenous,Quichua,Only indigenous,No,Not Applicable,Never,A few times a week,Rarely,Incorrect,Incorrect,Incorrect,No Response,No,No,Yes,No,No,No,No,No,No,No,No,No,Not Applicable,Yes,7,Female,4,Ecuadorian,Android,Male,No Response
Ecuador,721878aa-8190-4857-8f85-4827a0c2fd9e-1b58c5f7ddb610cc42388109,ECU14_14090677,Sierra Rural,Large: More than 100.000,17010203,Pichincha,Quito,224,Rural,Rural Area,Spanish,30jan2014,1,Female,1940,74,Somewhat Satisfied,Don't Know,Better,Better,No,No,Bad,No,Never,Once a Week,Never,Once or Twice a Month,Never,Never,Never,No,Somewhat Trustworthy,2,Strongly Disagree,They take away jobs from citizens,No,"Yes, a military take-over of the state would be justified","Yes, a military take-over of the state would be justified",Don't Know,No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Somewhat Safe,Lower,Same,None,A Lot,Increase punishment of criminals,3,6,4,5,5,6,4,4,4,5,6,Not at All,2,6,5,4,2,3,Don't Know,Don't Know,Not Applicable,A lot,6,Don't Know,Don't Know,Don't Know,Don't Know,Not at All,Don't Know,6,A Lot,A Lot,5,Don't Know,Don't Know,Don't Know,A Lot,Not at All,2,3,The government does not have that right,Neither Good nor Bad (Fair),Satisfied,Satisfied,Dissatisfied,More than 30 minutes but less than 1 hour,Don't Know,5,4,5,Don't Know,5,4,4,Don't Know,Protect the Environment,Safer Construction of Homes,Don't Know,"No, it is not justified",Strongly Disapprove,Strongly Disapprove,2,3,4,5,Strongly Disapprove,Strongly Disapprove,Don't Know,Strongly Disapprove,6,Don't Know,Don't Know,Everyone's Participation,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Very Uncommon,No,Not Applicable,No,No,No,No,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,Yes,Alianza PAIS-Patria Altiva I Soberana (PAIS),Some,Would go to vote but would leave the ballot blank or would purposely cancel my vote,Agree that voting should be compulsory,Yes,No,No,Don't Know,The laws in Ecuador were made thinking of the national interest,Have our own currency,Don't Know,[Don't Read] None,Don't Know,Don't Know,Not Applicable,Don't Know,Not Applicable,Don't Know,Don't Know,Don't Know,Almost Never,Sometimes,Would Not Approve or Understand,Would Approve,Yes,Yes,Does not speak a foreign language,Not Applicable,None,None,Catholic,Very Important,Taking care of the home,Not Applicable,Less than 130,Not Applicable,No,No,Never been abroad,Not Applicable,"Good enough, with no major problems",Remained the same,Common law marriage (Living together),2,0,7,Mestizo,Castilian / Spanish,Spanish only,No,Not Applicable,Never,A few times a week,Never,Incorrect,Incorrect,Incorrect,Don't Know,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,4,Female,3,Ecuadorian,Android,Female,Don't Know
Ecuador,ed16a0e0-96aa-44b7-a6d1-56071d19cf7d-d91591617202a27c4240367,ECU14_14091470,Costa Rural,Large: More than 100.000,801,Esmeraldas,Esmeraldas,54,Rural,Rural Area,Spanish,05feb2014,1,Female,1961,53,Somewhat Dissatisfied,Unemployment,Worse,Worse,No,No,Bad,No,Once or Twice a Year,Once a Week,Once or Twice a Year,Once or Twice a Year,Never,Never,Never,No,Somewhat Trustworthy,4,Neither Agree nor Disagree,They take away jobs from citizens,No,"No, a military take-over of the state would not be justified","No, a military take-over of the state would not be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Very Safe,Lower,Lower,None,Some,[Don't Read] Both,5,A Lot,A Lot,5,A Lot,5,A Lot,A Lot,6,A Lot,A Lot,Don't Know,4,A Lot,3,4,A Lot,5,A Lot,Don't Know,Not Applicable,5,A lot,Don't Know,Don't Know,Don't Know,Don't Know,4,2,5,5,Don't Know,A Lot,Don't Know,Don't Know,Not at All,4,3,Not at All,A Lot,The government does not have that right,Good,Dissatisfied,Satisfied,Satisfied,Less than 10 minutes,Don't Know,Strongly Agree,Strongly Agree,2,4,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,[Don't Read] Both,Avoiding Cost Increases,Satisfied,"No, it is not justified",Strongly Approve,Strongly Disapprove,Strongly Disapprove,Don't Know,9,Strongly Approve,Don't Know,8,6,Strongly Disapprove,Strongly Approve,9,Under some circumstances an authoritarian government may be preferable to a democratic one,Everyone's Participation,No,No,No,Not Applicable,Not Applicable,Not Applicable,No,No,No,Uncommon,No,Not Applicable,Don't Know,No,No,No,No,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,No,Not Applicable,A Little,Would vote for incumbent candidate or party,Don't Know,Yes,No,No,Yes,The laws in Ecuador were made thinking of the national interest,Have our own currency,Venezuela,Don't Know,Japan,Some,Positive,Some,Don't Know,Somewhat Trustworthy,Don't Know,Not Very Trustworthy,Almost Never,Sometimes,Would Not Approve or Understand,Would Not Approve or Understand,Yes,Yes,Does not speak a foreign language,Not Applicable,8,Primary incomplete,Catholic,Very Important,Taking care of the home,Not Applicable,Between 181 and 220,Not Applicable,No,No,Never been abroad,Not Applicable,"Not enough, and having a hard time",Remained the same,Married,8,2,6,Mullatto,Castilian / Spanish,Spanish only,Yes,Does not have a job because they cannot work,Never,A few times a week,A few times a week,Incorrect,Incorrect,Correct,Don't Know,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,7,Female,3,Ecuadorian,Android,Female,Don't Know
Ecuador,e7e29a1c-ca45-44c1-9c92-30aa6550b24c-5d834932a5c707cd4238950,ECU14_14091405,Sierra Rural,Medium: Between 25.000 and 100.000,1702,Pichincha,Cayambe,180,Rural,Rural Area,Spanish,27jan2014,1,Male,1953,61,Somewhat Satisfied,Poverty,Same,Same,No,Yes,Good,Yes,No Response,Once a Week,Never,Never,Never,Not Applicable,Never,Yes,Somewhat Trustworthy,Don't Know,Don't Know,They take away jobs from citizens,No,"Yes, a military take-over of the state would be justified","Yes, a military take-over of the state would be justified","No, it is not justified",No,Not Applicable,Not Applicable,Not Applicable,No,Satisfied,Very Safe,Same,Same,Don't Know,Don't Know,Increase punishment of criminals,3,3,4,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,Not at All,2,A Lot,A Lot,2,A Lot,A lot,A Lot,Don't Know,Not Applicable,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,The government has the right to seize private property,Very Good,Satisfied,Satisfied,Satisfied,More than 30 minutes but less than 1 hour,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Don't Know,No Response,Don't Know,[Don't Read] Both,Safer Construction of Homes,Satisfied,"No, it is not justified",Strongly Approve,Strongly Disapprove,Strongly Disapprove,Strongly Approve,Don't Know,3,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,Strongly Disapprove,Strongly Approve,Strongly Approve,Under some circumstances an authoritarian government may be preferable to a democratic one,Iron Fist,No,No,No,No,Not Applicable,Not Applicable,No,Not Applicable,No,Uncommon,No,Not Applicable,Don't Know,No,No,No,Yes,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País - PAIS",Not Applicable,Not Applicable,No,Not Applicable,A Little,Would vote for incumbent candidate or party,Agree that voting should be compulsory,Don't Know,No,No,Don't Know,Don't Know,Have our own currency,Don't Know,Don't Know,Don't Know,Don't Know,Not Applicable,Don't Know,Not Applicable,Untrustworthy,Don't Know,Untrustworthy,Almost Never,Sometimes,Would Not Approve or Understand,Would Not Approve or Understand,Yes,Yes,Does not speak a foreign language,Not Applicable,4,Don't Know,Catholic,Very Important,"Retired, pensioner or permanently disabled to work",Not Applicable,Less than 130,Less than 130,No,No,Never been abroad,Not Applicable,"Not enough, and having a hard time",Decreased,Common law marriage (Living together),5,0,3,White,Castilian / Spanish,Spanish only,Yes,Does not have a job because they cannot work,Never,Rarely,Rarely,Incorrect,Incorrect,Correct,Don't Know,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,4,Male,4,Ecuadorian,Android,Male,Don't Know
