pais,idnum,uniq_id,upm,prov,municipio,cluster,ur,tamano,idiomaq,fecha,wt,estratopri,estratosec,q2y,q2,q1,estatosec,ls3,a4,soct2,idio2,np1,cp6,cp7,cp8,cp13,cp20,it1,l1,immig1,immig2,prot3,jc10,jc13,jc15a,vic1ext,vic1exta,aoj11,aoj12,b1,b2,b3,b4,b6,b43,b12,b13,b18,b21,b21a,b32,b37,b47a,pr3d,pr3e,m1,m2,sd2new2,sd3new2,sd6new2,infrax,infra3,ros1,ros4,ing4,eff1,eff2,aoj22new,undocimmig1,media3,media4,exp_a,dst1b,drk1,env1c,env2b,pn4,w14a,e5,d1,d2,d3,d4,d5,d6,lib1,lib2b,lib2c,lib4,exc2,exc6,exc20,exc11,exc13,exc14,exc15,exc16,exc18,exc7new,vb1,inf1,vb2,vb3n,vb10,vb11,pol1,vb20,ecuvb2017b1,ecuvb2017b2,ecuvb2017b3,ecudolar,ecudolar2,ecude1,ecude2,ecude3,ecude4,for5,exp_b,mil10a,mil10e,mil10oas,mil10un,wf1,cct1b,ed2a,ed2b,ed,ed2,q5a,q5b,q3c,ocup4a,ocup1a,q10g,q10new,q10a,q10b,q10ca,q16,q14,q10d,q10e,q11n,q12c,q12bn,q12,q12m,q12f,etid,www1,gi0,pr1,r3,r4,r4a,r5,r6,r7,r8,r12,r14,r15,r18,r1,r16,sent1,colorr,conocim,iarea1,iarea2,iarea3,iarea4,iarea6,iarea7,sexi,colori,agequota,srvyrid,nationality,formatq,sex
Ecuador,692,ECU16_0692,3,Napo,Archidona,176,Rural,Rural Area,Spanish,21nov2016,1,Oriente Norte,"Small (less than 25,000)",1986,30,Female,3,Somewhat Satisfied,Don't Know,Better,Same,No,Once a Week,Once or Twice a Month,Never,Once or Twice a Year,Once or Twice a Month,Somewhat Trustworthy,8,Somewhat Agree,They take jobs that Ecuadorians don't want,"Yes, I have participated","No, a military take-over of the state would not be justified",Not Applicable,"Yes, it is justified",Yes,1,Don't Know,Some,4,3,6,4,5,A Lot,6,2,A Lot,3,4,5,6,2,6,5,Good,Well,Satisfied,Very Dissatisfied,Very Satisfied,Less than 10 minutes,Between 10 and 30 minutes,2,3,Strongly Disagree,4,3,6,5,Strongly Agree,3,Set 2,6,Very Likely,2,Somewhat Serious,Satisfied,"Yes, it is justified",8,7,3,5,9,3,2,Very Little,Very Little,Very Little,Too Much,No,No,No,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,Half of them,Yes,Yes,Voted,"Álvaro Noboa, Partido Renovador Institucional Acción Nacional – PRIAN",Yes,Don't Know,Some,Would vote a candidate or party different from the current president/administration,Guillermo Lasso (Movimiento CREO),Not Applicable,Not Applicable,Have Own Currency,Good,No,Not Applicable,Not Applicable,Not Applicable,Mexico,Set 1,Somewhat Trustworthy,Not Very Trustworthy,Somewhat Trustworthy,Don't Know,No,Yes,Both,Not Applicable,7,Primary incomplete,Once a week,Very Important,Catholic,Taking care of the home,Not Applicable,Not Applicable,Less than $135,No,Not Applicable,No,Not Applicable,No,"Not enough, and are stretched",Decreased,Married,9,6,7,3,4,Indigenous,Never,A few times a week,Borrowed or Shared,No,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,Don't Know,5,Low,A Little,A Little,None,None,None,None,Male,4,31-45,15,Ecuadoran,Android (STG),Female
Ecuador,922,ECU16_0922,21,Bolívar,Guaranda,14,Rural,Rural Area,Spanish,24nov2016,1,Sierra Rural,"Medium (between 25,000 and 100,000)",1954,62,Male,2,Somewhat Dissatisfied,"Inflation, high prices",Worse,Worse,No,Once a Week,Once or Twice a Year,Once or Twice a Year,Never,Not Applicable,Not Very Trustworthy,3,Strongly Disagree,They take jobs away from Ecuadorians,"No, I have not participated",Not Applicable,"No, a military take-over of the state would not be justified","No, it is not justified",Yes,3,Very Unsafe,None,2,Don't Know,Not at All,Don't Know,No Response,6,5,4,2,3,3,4,4,5,6,2,Neither Good nor Bad (Fair),Neither well nor poorly,Dissatisfied,Very Dissatisfied,Satisfied,More than 3 hours,More than 1 hour and up to 3 hours,Strongly Disagree,5,2,3,2,6,Strongly Agree,4,5,Set 2,Strongly Agree,Very Likely,3,Not So Serious,Satisfied,"No, it is not justified",9,3,8,6,4,9,Strongly disapprove,Too Much,Very Little,Very Little,Very Little,No,Yes,No,No,No,No,Don't Know,Don't Know,No,More than half of them,No,Yes,Voted,"Rafael Correa, Movimiento Alianza País – PAIS",No,Not Applicable,None,Would vote a candidate or party different from the current president/administration,Not Applicable,Not Applicable,Other response/None/Blank/Null/Didn't vote,Have Own Currency,Very Bad,No,Not Applicable,Not Applicable,Not Applicable,Don't Know,Set 1,Don't Know,Untrustworthy,Don't Know,Don't Know,No,Don't Know,Not Applicable,Public,13,None,More than once a week,Very Important,Evangelical and Protestant,Actively looking for a job,Not Applicable,Not Applicable,Don't Know,No,Not Applicable,No,Not Applicable,Yes,"Not enough, and are stretched",Remained the same,Married,2,None,14,7,7,Indigenous,Never,Rarely,Owned,No,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,A political party,4,Low,A Little,A Little,A Little,None,None,None,Male,4,46+,11,Ecuadoran,Android (STG),Male
Ecuador,516,ECU16_0516,13,Azuay,Cuenca,9,Rural,Rural Area,Spanish,27nov2016,1,Sierra Rural,"Large (more than 100,000)",1991,25,Female,1,Don't Know,Unemployment,Don't Know,Better,No,Once or Twice a Month,Once or Twice a Month,Never,Never,Never,Not Very Trustworthy,Don't Know,Don't Know,They take jobs away from Ecuadorians,"No, I have not participated",Not Applicable,"No, a military take-over of the state would not be justified","No, it is not justified",Yes,3,Very Unsafe,None,Not at All,A Lot,2,Not at All,Not at All,A Lot,Don't Know,4,Not at All,Not at All,A Lot,2,A Lot,A Lot,A Lot,A Lot,Good,Neither well nor poorly,Very Satisfied,Very Satisfied,Don't Know,Between 10 and 30 minutes,Between 10 and 30 minutes,Strongly Disagree,6,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,5,Strongly Agree,Set 1,Strongly Agree,Somewhat Likely,Environment as priority,Very Serious,Satisfied,"Yes, it is justified",Strongly disapprove,Strongly approve,2,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve,Very Little,Very Little,Too Much,Enough,Yes,Yes,No,No,No,No,No,No,No,More than half of them,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País – PAIS",No,Not Applicable,None,Would vote for a candidate or party of the current president/administration,Not Applicable,Not Applicable,Lenin Moreno (Alianza País),Have Own Currency,Bad,Yes,No,No,Very Bad,Don't Know,Set 1,Don't Know,Not Very Trustworthy,Don't Know,Don't Know,Yes,Yes,Public,Not Applicable,6,Don't Know,Once a month,Somewhat Important,Catholic,Actively looking for a job,Not Applicable,Not Applicable,Don't Know,No,Not Applicable,No,Not Applicable,Yes,"Not enough, and having a hard time",Decreased,Single,6,4,1,1,0,Mestizo,A few times a week,Daily,Rented,No,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,Don't Know,3,Low,Some,A Lot,A Lot,None,None,None,Female,4,18-30,10,Ecuadoran,Android (STG),Female
Ecuador,1510,ECU16_1510,12,Chimborazo,Colta,27,Rural,Rural Area,Spanish,26nov2016,1,Sierra Rural,"Medium (between 25,000 and 100,000)",1978,38,Female,2,Very Satisfied,"Economy, problems with, crisis of",Worse,Worse,No,Never,Once or Twice a Year,Never,Never,Never,Not Very Trustworthy,Right,Somewhat Agree,They take jobs away from Ecuadorians,"No, I have not participated",Not Applicable,"No, a military take-over of the state would not be justified","No, it is not justified",No,Not Applicable,Somewhat Safe,A lot,5,3,6,4,A Lot,6,5,4,A Lot,3,6,2,Not at All,A Lot,3,4,Neither Good nor Bad (Fair),Very Well,Satisfied,Satisfied,Very Dissatisfied,Less than 10 minutes,Between 10 and 30 minutes,5,4,Strongly Agree,3,2,6,2,Strongly Disagree,4,Set 2,3,A Little Likely,6,Very Serious,Satisfied,"Yes, it is justified",9,5,8,4,6,3,5,Very Little,Very Little,Very Little,Very Little,No,No,No,Not Applicable,No,No,No,Not Applicable,No,Half of them,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País – PAIS",No,Not Applicable,Little,Would go to vote but would leave the ballot blank or would purposely cancel my vote,Not Applicable,Not Applicable,Lenin Moreno (Alianza País),Maintain Dollarization,Good,No,Not Applicable,Not Applicable,Not Applicable,Venezuela,Set 2,Don't Know,Don't Know,Don't Know,Don't Know,No,No,Public,Not Applicable,3,Primary incomplete,Once or twice a year,Very Important,Catholic,Actively looking for a job,Not Applicable,Not Applicable,Less than $135,No,Not Applicable,No,Not Applicable,Yes,"Not enough, and are stretched",Remained the same,Single,5,1,1,0,1,Indigenous,Never,Daily,Owned,No,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,Don't Know,6,Very Low,None,A Little,None,None,None,None,Male,7,31-45,4,Ecuadoran,Android (STG),Female
Ecuador,984,ECU16_0984,39,Cotopaxi,La Maná,31,Rural,Rural Area,Spanish,22nov2016,1,Sierra Rural,"Medium (between 25,000 and 100,000)",1992,24,Male,2,Very Satisfied,Don't Know,Same,Same,No,Never,Once or Twice a Month,Never,Never,Not Applicable,Not Very Trustworthy,3,Somewhat Agree,They take jobs away from Ecuadorians,"No, I have not participated","Yes, a military take-over of the state would be justified",Not Applicable,"No, it is not justified",No,Not Applicable,Don't Know,None,Not at All,Not at All,2,4,4,6,5,6,A Lot,4,3,5,A Lot,A Lot,2,3,Good,Neither well nor poorly,Dissatisfied,Dissatisfied,Satisfied,Between 10 and 30 minutes,Between 10 and 30 minutes,3,Strongly Disagree,2,Strongly Disagree,Strongly Disagree,5,4,6,6,Set 1,5,Not Likely at All,2,Somewhat Serious,Satisfied,"Yes, it is justified",3,5,4,6,5,4,3,Very Little,Very Little,Very Little,Enough,No,No,Yes,Yes,No,Not Applicable,Not Applicable,Not Applicable,No,Half of them,Yes,Yes,Did not vote,Not Applicable,Yes,Don't Know,Little,Would vote a candidate or party different from the current president/administration,Guillermo Lasso (Movimiento CREO),Not Applicable,Not Applicable,Have Own Currency,Good,No,Not Applicable,Not Applicable,Not Applicable,Brazil,Set 1,Not Very Trustworthy,Don't Know,Not Very Trustworthy,Untrustworthy,No,No,Not Applicable,Both,13,Primary incomplete,Once a week,Very Important,Don't Know,Actively looking for a job,Not Applicable,Not Applicable,136-200,No,Not Applicable,No,Not Applicable,Yes,"Not enough, and are stretched",Decreased,Common law marriage (living together),3,1,1,0,1,Black,Never,Daily,Owned,No,No,No,No,No,No,Yes,No,No,No,No,No,Not Applicable,The National Government,3,Neither High Nor Low,A Little,A Lot,A Little,None,None,None,Male,4,18-30,11,Ecuadoran,Android (STG),Male
Ecuador,951,ECU16_0951,16,Guayas,Daule,60,Rural,Rural Area,Spanish,26nov2016,1,Costa Rural,"Medium (between 25,000 and 100,000)",1940,76,Male,2,Very Satisfied,"Economy, problems with, crisis of",Worse,Worse,No Response,Once a Week,Never,Once or Twice a Month,Never,Not Applicable,Untrustworthy,No Response,Strongly Disagree,They take jobs away from Ecuadorians,"No, I have not participated",Not Applicable,"Yes, a military take-over of the state would be justified","No, it is not justified",No,Not Applicable,Very Unsafe,No Response,Not at All,A Lot,No Response,5,No Response,A Lot,A Lot,Don't Know,3,4,A Lot,5,Don't Know,Don't Know,2,Don't Know,Very Good,Well,Very Satisfied,Very Satisfied,Very Satisfied,Between 10 and 30 minutes,Less than 10 minutes,2,5,Don't Know,6,6,5,3,No Response,No Response,Set 2,5,Very Likely,6,Don't Know,Satisfied,Don't Know,6,4,Don't Know,3,Don't Know,2,Strongly disapprove,Don't Know,No Response,No Response,Don't Know,Yes,No,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,All,Don't Know,Yes,Voted,"Rafael Correa, Movimiento Alianza País – PAIS",No,Not Applicable,None,Don't Know,Not Applicable,Not Applicable,No Response,Have Own Currency,Bad,No,Not Applicable,Not Applicable,Not Applicable,No Response,Set 2,Don't Know,Don't Know,Don't Know,Don't Know,No,Yes,Public,Not Applicable,7,Don't Know,Once a week,Very Important,Catholic,"Not working at the moment, but have a job",Self-employed,Less than $135,Less than $135,No,Not Applicable,No,Not Applicable,No,"Not enough, and having a hard time",Decreased,Common law marriage (living together),3,None,1,1,0,No Response,Never,Never,Owned,No,No,No,No,No,No,No,Yes,No,No,No,No,Not Applicable,The President of the Republic,3,Low,A Little,A Lot,None,None,None,None,Female,6,46+,14,Ecuadoran,Android (STG),Male
Ecuador,1483,ECU16_1483,8,Loja,Chaguarpamba,127,Rural,Rural Area,Spanish,24nov2016,1,Sierra Rural,"Small (less than 25,000)",1977,39,Male,3,Very Satisfied,"Economy, problems with, crisis of",Worse,Worse,Yes,Once or Twice a Month,Never,Once or Twice a Year,Once or Twice a Year,Not Applicable,Very Trustworthy,8,Strongly Agree,They take jobs away from Ecuadorians,"No, I have not participated","Yes, a military take-over of the state would be justified",Not Applicable,"Yes, it is justified",No,Not Applicable,Very Safe,Little,5,6,4,A Lot,A Lot,A Lot,4,5,3,2,4,4,3,2,4,5,Good,Well,Satisfied,Very Satisfied,Satisfied,Between 10 and 30 minutes,More than 1 hour and up to 3 hours,3,6,5,4,3,5,5,5,4,Set 1,5,A Little Likely,6,Very Serious,Satisfied,"No, it is not justified",7,9,5,8,9,2,2,Too Much,Enough,Enough,Very Little,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Half of them,Yes,Yes,Voted,"Rafael Correa, Movimiento Alianza País – PAIS",No,Not Applicable,Little,Would vote for a candidate or party of the current president/administration,Not Applicable,Not Applicable,Lenin Moreno (Alianza País),Have Own Currency,Bad,No,Not Applicable,Not Applicable,Not Applicable,United States,Set 1,Somewhat Trustworthy,Somewhat Trustworthy,Somewhat Trustworthy,Not Very Trustworthy,No,No,Public,Not Applicable,6,Primary incomplete,Once a month,Very Important,Catholic,Actively looking for a job,Not Applicable,Not Applicable,336-360,No,Not Applicable,No,Not Applicable,No,"Not enough, and are stretched",Decreased,Common law marriage (living together),3,1,1,1,0,White,A few times a month,A few times a week,Borrowed or Shared,No,No,No,No,No,No,No,Yes,No,No,No,No,Not Applicable,The President of the Republic,3,Low,A Little,A Lot,A Little,None,None,None,Female,4,31-45,10,Ecuadoran,Android (STG),Male
Ecuador,410,ECU16_0410,42,Loja,Loja,130,Rural,Rural Area,Spanish,23nov2016,1,Sierra Rural,"Large (more than 100,000)",2000,16,Male,1,Very Satisfied,Environment,Worse,Worse,No,Once or Twice a Month,Once or Twice a Month,Never,Never,Not Applicable,Very Trustworthy,Right,Somewhat Agree,They take jobs away from Ecuadorians,"No, I have not participated","Yes, a military take-over of the state would be justified",Not Applicable,"Yes, it is justified",No,Not Applicable,Somewhat Unsafe,Little,4,A Lot,A Lot,5,A Lot,A Lot,A Lot,5,A Lot,6,6,6,A Lot,5,3,2,Good,Well,Dissatisfied,Very Dissatisfied,Very Dissatisfied,More than 1 hour and up to 3 hours,Between 10 and 30 minutes,3,Strongly Agree,6,4,5,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Set 1,Strongly Agree,Very Likely,Economic growth as priority,Very Serious,Dissatisfied,"Yes, it is justified",8,7,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Strongly disapprove,Enough,Very Little,Very Little,Very Little,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,More than half of them,No,No,Did not vote,Not Applicable,No,Not Applicable,Little,Would go to vote but would leave the ballot blank or would purposely cancel my vote,Not Applicable,Not Applicable,Lenin Moreno (Alianza País),Have Own Currency,Very Bad,No,Not Applicable,Not Applicable,Not Applicable,United States,Set 1,Don't Know,Don't Know,Not Very Trustworthy,Don't Know,No,Yes,Public,Not Applicable,7,None,More than once a week,Very Important,Catholic,Actively looking for a job,Not Applicable,Not Applicable,316-335,Yes,A Lot,No,Not Applicable,No,"Good enough, with no major problems",Decreased,Single,2,None,None,Not Applicable,Not Applicable,Indigenous,A few times a week,A few times a week,Owned,No,No,No,No,No,No,No,Yes,No,No,No,No,Not Applicable,Other,5,Low,A Little,A Little,None,None,None,None,Male,3,18-30,18,Ecuadoran,Android (STG),Male
Ecuador,666,ECU16_0666,12,Chimborazo,Colta,25,Rural,Rural Area,Spanish,26nov2016,1,Sierra Rural,"Medium (between 25,000 and 100,000)",1945,71,Male,2,Somewhat Satisfied,"Economy, problems with, crisis of",Worse,Worse,Yes,Once or Twice a Month,Once or Twice a Month,Once or Twice a Month,Never,Not Applicable,Not Very Trustworthy,Right,Somewhat Disagree,They take jobs away from Ecuadorians,"No, I have not participated",Not Applicable,"Yes, a military take-over of the state would be justified","No, it is not justified",No,Not Applicable,Very Unsafe,A lot,5,2,4,2,6,A Lot,2,3,2,3,Not at All,2,Not at All,3,Not at All,Not at All,Bad,Very poorly,Satisfied,Dissatisfied,Dissatisfied,Between 10 and 30 minutes,Between 10 and 30 minutes,2,Strongly Disagree,2,3,Strongly Disagree,4,2,3,2,Set 1,4,Very Likely,3,Not So Serious,Very Satisfied,"Yes, it is justified",2,4,2,3,4,5,3,Very Little,Very Little,Very Little,Very Little,Yes,Yes,No,Not Applicable,No,Not Applicable,Yes,Not Applicable,Yes,Half of them,Yes,Yes,Voted,Don't Know,No,Not Applicable,Little,Would vote a candidate or party different from the current president/administration,Not Applicable,Lenin Moreno (Alianza País),Not Applicable,Have Own Currency,Bad,Yes,No,No,Very Bad,United States,Set 2,Untrustworthy,Not Very Trustworthy,Untrustworthy,Untrustworthy,No,Yes,Not Applicable,Not Applicable,Don't Know,Don't Know,More than once a week,Not Very Important,Catholic,"Not working at the moment, but have a job",Self-employed,Don't Know,Don't Know,No,Not Applicable,No,Not Applicable,No,"Not enough, and are stretched",Decreased,Married,8,2,8,3,5,Indigenous,Never,Daily,Owned,No,No,No,No,No,No,No,Yes,No,No,No,No,Not Applicable,Don't Know,7,Low,A Little,A Little,A Little,None,None,None,Male,3,46+,8,Ecuadoran,Android (STG),Male
Ecuador,926,ECU16_0926,12,Chimborazo,Colta,26,Rural,Rural Area,Spanish,27nov2016,1,Sierra Rural,"Medium (between 25,000 and 100,000)",1954,62,Male,2,Somewhat Satisfied,Don't Know,Better,Same,Yes,Once a Week,Once or Twice a Month,Once or Twice a Month,Once or Twice a Year,Not Applicable,Untrustworthy,Don't Know,Strongly Agree,They take jobs away from Ecuadorians,"Yes, I have participated","Yes, a military take-over of the state would be justified",Not Applicable,"Yes, it is justified",No,Not Applicable,Very Safe,None,Not at All,3,5,A Lot,4,Not at All,Not at All,2,5,A Lot,A Lot,6,3,5,4,6,Very Good,Very Well,Very Satisfied,Very Satisfied,Very Satisfied,Between 10 and 30 minutes,Between 10 and 30 minutes,Strongly Disagree,2,3,Strongly Agree,6,3,5,Strongly Disagree,2,Set 1,4,Very Likely,Environment as priority,Not Serious at All,Satisfied,"No, it is not justified",Strongly disapprove,2,4,8,9,Strongly approve,7,Very Little,Don't Know,Very Little,Very Little,Yes,No,No,Not Applicable,No,Not Applicable,No,Yes,No,Half of them,Yes,No,Voted,"Rafael Correa, Movimiento Alianza País – PAIS",Yes,Alianza PAIS-Patria Altiva I Soberana (PAIS),Little,Don't Know,Not Applicable,Not Applicable,Lenin Moreno (Alianza País),Have Own Currency,Very Bad,Yes,Yes,No,Very Bad,Mexico,Set 1,Untrustworthy,Don't Know,Don't Know,Don't Know,Yes,Yes,Not Applicable,Public,12,Don't Know,More than once a week,Not Important at All,Catholic,Don't Know,Not Applicable,Not Applicable,Less than $135,No,Not Applicable,No,Not Applicable,No,"Not enough, and are stretched",Remained the same,Single,6,4,4,3,1,White,A few times a week,A few times a month,Borrowed or Shared,No,No,No,No,No,No,No,No,Yes,No,No,No,Not Applicable,Other,2,Low,A Little,A Little,A Little,None,None,None,Male,4,46+,11,Ecuadoran,Android (STG),Male
